OverallStatus,HealthyVolunteers,DurationDays,Phase,Gender,DesignPrimaryPurpose,DesignInterventionModel,DesignAllocation,EnrollmentCount,ArmNumber,AgeGroups,AdverseEffectsorDeath
Completed,No,relatively_shortLen,Phase 3,All,Treatment,Parallel Assignment,Randomized,smallEnrol,4,elderly-adults,very_highAD
Completed,No,relatively_shortLen,Phase 1,All,Treatment,Parallel Assignment,Non-Randomized,smallEnrol,2,childTeen-infants,highAD
Completed,No,relatively_shortLen,Phase 3,All,Treatment,Single Group Assignment,SingleArmNA,smallEnrol,1,elderly-childTeen,very_highAD
Completed,No,relatively_shortLen,Phase 3,All,Treatment,Single Group Assignment,SingleArmNA,smallEnrol,1,allAges,highAD
Completed,No,relatively_shortLen,Phase 4,All,Treatment,Single Group Assignment,SingleArmNA,smallEnrol,1,elderly-adults,highAD
Completed,No,relatively_shortLen,Phase 2,All,Treatment,Parallel Assignment,Randomized,smallEnrol,2,elderly-adults,very_highAD
Completed,Accept,shortLen,Phase 1|Phase 2,Male,Treatment,Parallel Assignment,Randomized,relatively_smallEnrol,2,childTeen,noAD
Completed,No,medianLen,Phase 2,All,Prevention,Crossover Assignment,Randomized,smallEnrol,2,elderly-childTeen,very_highAD
Completed,No,relatively_shortLen,Phase 1,All,Basic Science,Single Group Assignment,SingleArmNA,smallEnrol,1,childTeen-infants,highAD
Completed,No,relatively_shortLen,Phase 3,All,Treatment,Single Group Assignment,SingleArmNA,smallEnrol,1,allAges,very_highAD
Completed,Accept,shortLen,Phase 4,Male,Basic Science,Crossover Assignment,Randomized,smallEnrol,2,adults,noAD
Terminated,No,medianLen,Phase 1,All,Treatment,Single Group Assignment,SingleArmNA,smallEnrol,1,infants,very_highAD
Completed,Accept,shortLen,Phase 1,All,Basic Science,Crossover Assignment,Randomized,smallEnrol,7,adults,noAD
Completed,No,shortLen,Phase 3,All,Treatment,Parallel Assignment,Randomized,median_Enrol,3,elderly-adults,highAD
Completed,No,shortLen,Phase 3,All,Treatment,Parallel Assignment,Randomized,median_Enrol,2,elderly-adults,highAD
Completed,No,shortLen,Phase 2,All,Treatment,Parallel Assignment,Randomized,relatively_smallEnrol,3,elderly-adults,highAD
Completed,No,relatively_shortLen,Phase 3,All,Treatment,Parallel Assignment,Randomized,median_Enrol,4,elderly-adults,highAD
Completed,No,relatively_shortLen,Phase 2,All,Treatment,Parallel Assignment,Randomized,median_Enrol,6,elderly-adults,highAD
Completed,No,relatively_shortLen,Not Applicable,All,Diagnostic,Parallel Assignment,Randomized,relatively_smallEnrol,2,infants,noAD
Completed,Accept,shortLen,Phase 2,Female,Prevention,Parallel Assignment,Non-Randomized,smallEnrol,1,adults,noAD
Completed,No,shortLen,Phase 4,All,Diagnostic,Single Group Assignment,SingleArmNA,smallEnrol,1,adults-infants,noAD
Completed,No,relatively_shortLen,Phase 3,All,Treatment,Parallel Assignment,Randomized,median_Enrol,4,elderly-adults,highAD
Completed,No,relatively_shortLen,Phase 3,All,Treatment,Parallel Assignment,Randomized,median_Enrol,2,elderly-adults,highAD
Completed,No,shortLen,Phase 2,All,Treatment,Parallel Assignment,Randomized,relatively_smallEnrol,3,elderly-adults,highAD
Completed,No,relatively_shortLen,Phase 2,All,Treatment,Parallel Assignment,Randomized,smallEnrol,2,elderly-adults,very_highAD
Completed,No,relatively_shortLen,Phase 3,All,Treatment,Single Group Assignment,SingleArmNA,smallEnrol,1,elderly-adults,noAD
Completed,No,longLen,Phase 3,All,Supportive Care,Parallel Assignment,Randomized,relatively_smallEnrol,3,elderly-adults,highAD
Completed,No,relatively_shortLen,Phase 3,All,Treatment,Single Group Assignment,SingleArmNA,smallEnrol,1,allAges,highAD
Completed,Accept,relatively_shortLen,Phase 3,All,Prevention,Parallel Assignment,Randomized,largeEnrol,4,infants,highAD
Completed,Accept,relatively_shortLen,Phase 3,All,Prevention,Parallel Assignment,Randomized,largeEnrol,5,infants,highAD
Completed,Accept,relatively_shortLen,Phase 3,All,Prevention,Parallel Assignment,Randomized,largeEnrol,5,infants,highAD
Completed,Accept,relatively_shortLen,Phase 3,All,Prevention,Parallel Assignment,Randomized,largeEnrol,8,infants,highAD
Completed,No,relatively_shortLen,Phase 3,All,Treatment,Parallel Assignment,Randomized,median_Enrol,2,elderly-adults,highAD
Terminated,Accept,relatively_shortLen,Not Applicable,Female,Treatment,Parallel Assignment,Randomized,smallEnrol,2,elderly-adults,noAD
Completed,No,relatively_shortLen,Not Applicable,All,Treatment,Single Group Assignment,Non-Randomized,smallEnrol,2,elderly-adults,noAD
Completed,No,relatively_shortLen,Phase 3,All,Treatment,Parallel Assignment,Randomized,median_Enrol,3,elderly-adults,highAD
Completed,No,shortLen,Phase 3,All,Treatment,Parallel Assignment,Randomized,median_Enrol,2,elderly-adults,highAD
Completed,No,shortLen,Phase 3,All,Treatment,Parallel Assignment,Randomized,median_Enrol,2,elderly-adults,highAD
Terminated,No,relatively_shortLen,Phase 4,All,Treatment,Parallel Assignment,Randomized,relatively_smallEnrol,2,elderly-adults,medianAD
Completed,No,relatively_shortLen,Phase 3,All,Treatment,Parallel Assignment,Non-Randomized,smallEnrol,2,allAges,very_highAD
Completed,No,relatively_shortLen,Phase 4,All,Treatment,Parallel Assignment,Non-Randomized,smallEnrol,2,elderly-adults,highAD
Completed,No,shortLen,Phase 3,All,Treatment,Single Group Assignment,SingleArmNA,smallEnrol,1,elderly-adults,noAD
Completed,No,relatively_shortLen,Not Applicable,All,Treatment,Single Group Assignment,SingleArmNA,smallEnrol,1,elderly-adults,noAD
Completed,Accept,relatively_shortLen,Phase 1,All,Basic Science,Parallel Assignment,Randomized,relatively_smallEnrol,4,elderly-adults,medianAD
Completed,No,shortLen,Phase 2,All,Treatment,Parallel Assignment,Randomized,relatively_smallEnrol,3,elderly-adults,highAD
Completed,No,medianLen,Not Applicable,All,Other,Single Group Assignment,SingleArmNA,smallEnrol,1,childTeen,noAD
Completed,No,relatively_shortLen,Phase 3,All,Treatment,Parallel Assignment,Randomized,median_Enrol,2,allAges,medianAD
Completed,No,shortLen,Phase 3,All,Treatment,Single Group Assignment,SingleArmNA,smallEnrol,1,allAges,highAD
Terminated,No,shortLen,Phase 3,All,Treatment,Parallel Assignment,Randomized,smallEnrol,3,elderly-adults,very_highAD
Completed,No,relatively_shortLen,Phase 2|Phase 3,All,Treatment,Single Group Assignment,SingleArmNA,smallEnrol,2,allAges,highAD
Completed,No,medianLen,Phase 4,All,Prevention,Single Group Assignment,SingleArmNA,smallEnrol,1,childTeen-infants,very_highAD
Completed,No,relatively_shortLen,Phase 3,All,Prevention,Parallel Assignment,Randomized,smallEnrol,1,elderly-adults,noAD
Completed,No,relatively_shortLen,Phase 3,All,Treatment,Single Group Assignment,SingleArmNA,smallEnrol,1,allAges,very_highAD
Completed,Accept,shortLen,Phase 3,All,Prevention,Single Group Assignment,SingleArmNA,relatively_smallEnrol,1,allAges,medianAD
Completed,No,shortLen,Phase 2,All,Treatment,Parallel Assignment,Randomized,relatively_smallEnrol,2,elderly-adults,highAD
Completed,No,medianLen,Not Applicable,All,Treatment,Parallel Assignment,Randomized,smallEnrol,2,elderly-adults,highAD
Completed,No,relatively_shortLen,Phase 4,All,Treatment,Single Group Assignment,Randomized,smallEnrol,2,elderly-adults,noAD
Completed,No,relatively_shortLen,Phase 1,All,Treatment,Parallel Assignment,Non-Randomized,smallEnrol,5,childTeen-infants,highAD
Completed,Accept,shortLen,Phase 3,All,Prevention,Single Group Assignment,SingleArmNA,median_Enrol,5,infants,highAD
Completed,Accept,relatively_shortLen,Phase 3,All,Prevention,Parallel Assignment,Randomized,relatively_smallEnrol,6,infants,highAD
Completed,Accept,relatively_shortLen,Phase 2,Female,Prevention,Parallel Assignment,Randomized,smallEnrol,2,adults,very_highAD
Completed,No,relatively_shortLen,Phase 2,Female,Prevention,Parallel Assignment,Non-Randomized,relatively_smallEnrol,1,adults,very_highAD
