OverallStatus,HealthyVolunteers,DurationDays,Phase,Gender,DesignPrimaryPurpose,DesignInterventionModel,DesignAllocation,EnrollmentCount,ArmNumber,AgeGroups
Completed,No,1602.0,Not Applicable,All,Health Services Research,Single Group Assignment,SingleArmNA,371.0,1,childTeen-infants
Completed,Accept,2435.0,Not Applicable,All,Diagnostic,Single Group Assignment,SingleArmNA,550.0,1,infants
Completed,No,759.0,Phase 3,All,Treatment,Parallel Assignment,Randomized,50.0,4,elderly-adults
Completed,No,303.0,Phase 1,All,Treatment,Single Group Assignment,Non-Randomized,10.0,1,childTeen
Completed,No,736.0,Not Applicable,All,Diagnostic,Single Group Assignment,SingleArmNA,983.0,1,infants
Completed,Accept,911.0,Phase 3,Female,Prevention,Parallel Assignment,Randomized,829.0,1,adults
Completed,No,51.0,Not Applicable,All,Other,Single Group Assignment,SingleArmNA,47.0,1,adults-childTeen
Completed,No,241.0,Not Applicable,All,Diagnostic,Sequential Assignment,Non-Randomized,780.0,1,elderly-adults
Completed,No,762.0,Not Applicable,All,Supportive Care,Single Group Assignment,SingleArmNA,15.0,1,elderly-adults
Completed,No,1249.0,Phase 2|Phase 3,All,Treatment,Parallel Assignment,Randomized,700.0,2,infants
Completed,No,274.0,Phase 1,All,Treatment,Single Group Assignment,SingleArmNA,13.0,1,childTeen
Completed,No,639.0,Phase 1,All,Treatment,Single Group Assignment,SingleArmNA,84.0,1,childTeen-infants
Completed,Accept,189.0,Phase 1,Male,Treatment,Parallel Assignment,Randomized,64.0,2,adults
Completed,No,669.0,Phase 1,All,Treatment,Single Group Assignment,SingleArmNA,36.0,1,childTeen-infants
Completed,No,963.0,Phase 1,All,Treatment,Parallel Assignment,Non-Randomized,32.0,2,childTeen-infants
Completed,No,273.0,Phase 4,All,Prevention,Single Group Assignment,Non-Randomized,710.0,1,elderly-adults
Completed,No,578.0,Not Applicable,All,Device Feasibility,Single Group Assignment,SingleArmNA,18.0,1,elderly-adults
Completed,No,805.0,Phase 1,All,Basic Science,Single Group Assignment,Non-Randomized,23.0,1,infants
Completed,No,670.0,Phase 3,All,Treatment,Single Group Assignment,Non-Randomized,26.0,1,elderly-childTeen
Completed,No,2373.0,Not Applicable,All,Prevention,Parallel Assignment,Randomized,120.0,1,allAges
Completed,Accept,139.0,Phase 1,All,Treatment,Parallel Assignment,Randomized,40.0,2,adults
Completed,Accept,122.0,Phase 1,All,Basic Science,Parallel Assignment,Randomized,48.0,2,adults
Completed,Accept,184.0,Phase 1,All,Basic Science,Parallel Assignment,Randomized,70.0,7,adults
Completed,No,913.0,Phase 1,All,Treatment,Single Group Assignment,Non-Randomized,52.0,2,infants
Completed,No,701.0,Phase 3,All,Treatment,Parallel Assignment,SingleArmNA,115.0,1,elderly-adults
Completed,No,284.0,Phase 4,All,Treatment,Parallel Assignment,SingleArmNA,0.0,1,elderly-adults
Completed,Accept,56.0,Phase 1,All,Treatment,Single Group Assignment,SingleArmNA,21.0,2,adults
Completed,Accept,1370.0,Not Applicable,All,Treatment,Single Group Assignment,Randomized,16359.0,1,allAges
Completed,Accept,92.0,Phase 1,All,Treatment,Parallel Assignment,Randomized,36.0,2,adults
Completed,Accept,0.0,Phase 1,All,Treatment,Parallel Assignment,Randomized,30.0,3,adults
Completed,Accept,212.0,Phase 1,All,Treatment,Parallel Assignment,Randomized,80.0,2,adults
Completed,Accept,215.0,Phase 1,All,Treatment,Parallel Assignment,Randomized,94.0,4,adults
Completed,No,305.0,Not Applicable,All,Diagnostic,Factorial Assignment,Randomized,630.0,1,elderly-adults
Completed,No,669.0,Phase 3,All,Treatment,Single Group Assignment,SingleArmNA,63.0,1,elderly-childTeen
Completed,No,1476.0,Not Applicable,All,Treatment,Crossover Assignment,Randomized,9673.0,1,elderly-adults
Completed,No,1460.0,Phase 4,All,Treatment,Parallel Assignment,Randomized,406.0,2,elderly-adults
Completed,No,639.0,Phase 3,All,Treatment,Parallel Assignment,Randomized,850.0,1,elderly-childTeen
