Condition,BriefSummary
cirrhosis,"In this prospective randomized controlled trial we aim to evaluate the impact of vitamin C on AKI outcomes in patients with cirrhosis and MDR infections. We also aim to evaluate the effects of iv vitamin c on systemic hemodynamics (cardiac output and systemic vascular resistive index, extravascular lung water and lung permeability index), endothelial function and coagulation, microcirculation (as assessed by lactate clearance and central venous oxygen saturation), mitochondrial function, 28-day mortality and vasopressor, ventilator and RRT free days in the ICU. The safety and side-effects of vitamin c would also be evaluated.||Patients with suspected (nosocomial acquisition) or proven MDR infections would be screened and randomized to two groups who meet the inclusion and exclusion criteria.||Group 1: Will receive iv vitamin C (25 mg/kg or max. 1.5 gram every 6 hourly) for maximum 5 days along with iv antibiotics as per institutional protocol Group 2: iv antibiotics alone"
cirrhosis,"Patients with cirrhosis present an increased susceptibility to bacterial infections. Spontaneous bacterial peritonitis (SBP) is the most frequent infection and induces severe circulatory dysfunction associated with renal failure in about 30% of cases. Renal failure is a reliable surrogate marker of in-hospital mortality in patients with SBP or with non-SBP infections. Albumin, as an adjuvant to antibiotherapy reduces significantly the rate of renal failure, in-hospital mortality, and overall mortality (Sort P, et al. NEJM 1999). However, little is known regarding the effect of albumin administration in patients with non-SBP infections. Two recent prospective studies demonstrated that non-SBP infections are associated with impairment of the effective circulating volume and precipitate renal failure whatever the presence of ascites.||The aim of this randomized clinical trial is to evaluate the effects of albumin, associated with appropriate antibiotic therapy, on occurrence or deterioration of renal failure and survival in septic (SIRS criteria required) cirrhotic patients with non-SBP infections and presenting with a Child-Pugh score > 8."
cirrhosis,"Bacterial infections are a frequent complication in liver cirrhosis with a bad prognosis. However, the clinical outcome of cirrhotic patients with serious infections is significantly improved over the last 30 years due to early diagnosis and to the use of a more appropriate antibiotic therapy.||As in the general population, empirical treatment should be initiated soon after diagnosis, after making the necessary sampling and should be based on the use of an antibiotic with low toxicity and broad spectrum antibacterial efficacy, taking into account the local epidemiology and prevalence of antibiotic resistance.||The third generation cephalosporins are considered the gold standard in the treatment of most infections in cirrhotics due to their effectiveness against enterobacteriaceae and against non-enterococcal streptococci and due to their low toxicity.||However, the recommendations for the antibiotic therapy are currently based on results of trials of '80s and '90s, when the proportion of resistant pathogens was lower. Similarly to nosocomial infections, the increasing rate of infections due to multidrug resistant (MDR) bacteria represents the rational for a different choice of empirical antibiotic therapy with a higher resistance barrier. This change in the epidemiology of community acquired infections is mainly due to the increased contacts with healthcare system of these patients and for the larger use of antibiotic prophylaxis. With this regard, it was recently proposed to introduce a third epidemiological class of infection ""Health care-associated"": Infections occurring in community in patients who have been in contact with the health system shortly before the infection.||This epidemiological class of infection should be distinguished from ""community-acquired"" because they are more similar to""nosocomial"" in terms of their sensitivity to antibiotics. Therefore for this class should be taken into consideration the use of a different empirical antibiotic therapy.||The investigators aim was to evaluate prospectively the effectiveness of a broad spectrum antibiotic treatment in a cohort of cirrhotic patients with ""healthcare-Associated""infections||Cirrhotic patients with ""Healthcare Associated"" admitted to the gastroenterology department of the Policlinico Umberto I and in the Department of Hepatology of the Hospital of Marino will be consecutively enrolled.||Randomized controlled trial with randomisation stratified by epidemiological class of infection."
cirrhosis,"Study Design:||Double-blind randomized placebo-controlled clinical trial||Study Duration:||2 years||Study Center:||Single center Hospital de la Santa Creu i Sant Pau, Barcelona||Objectives:||To assess the effect of Vivomixx® on neuroinflammation and systemic inflammatory response in patients with cirrhosis"
cirrhosis,"Spontaneous bacterial peritonitis (SBP) present in cirrhotic patients induces severe circulatory dysfunction, which results in renal failure in up to 30% of the patients. Renal failure is an important prognostic marker, representing the major predictive factor of in-hospital mortality.||Recent studies have shown that plasma volume expansion with albumin associated with cefotaxime in patients with SBP is more efficient to prevent renal failure than cefotaxime treatment alone. The in-hospital and three-month mortality rates, furthermore, were significantly lower in the group treated with albumin.||It is not known if other bacterial infections unrelated to SBP represent a risk factor for the development of renal failure among cirrhotic patients. The researcher's group has recently performed a study to evaluate the incidence, characteristics and outcome, of renal failure in patients with cirrhosis and bacterial infections unrelated to SBP associated with the systemic inflammatory response syndrome (Terra, unpublished results). Among a total of 106 patients, 29 (27%) presented renal failure during the course of infection. Renal failure was characterized by intense renal vasoconstriction (intrarenal resistive index of 0.83 +/- 0.09, measured by Doppler ultrasound), reduction of mean arterial pressure and an important activation of endogenous vasoconstriction systems. The three-month survival probability of patients with infection and renal failure was 34 %, much lower than that of patients with infection but not presenting renal failure (87%, p<0.0001). These results suggest that the development of renal failure in patients with cirrhosis and bacterial infections different from SBP, associated with signs of a systemic inflammatory response, is very frequent and results in a very poor prognosis. Taken as a whole, these data strongly indicate the need to consider these patients as candidates for liver transplantation and to plan strategies for its prevention.||The objective of this project, therefore, is to evaluate if the plasma volume expansion with albumin, associated with conventional antibiotic therapy, can prevent the development of renal failure and increase survival rates in cirrhotic patients with bacterial infections unrelated to spontaneous bacterial peritonitis."
cirrhosis,"In patients with cirrhosis and liver failure, pro-inflammatory cytokines (TNF alpha) might be responsible of severe complications and death. Thus, the prevention of cytokine production should prevent complications and mortality.||The aim of this study is to study the 2 months survival rate in patients with severe cirrhosis (Child-Pugh C) with pentoxifylline - an inhibitor of cytokine production. The 6 month mortality, the proportion of transplanted patients, the occurrence of complications (bacterial infection, renal failure, hepatic encephalopathy and gastrointestinal bleeding), plasma cytokine levels and fibrotest - a marker of fibrosis - will be also studied. This is a multicenter double blind randomized trial with a placebo.||All adult patients with severe cirrhosis might be randomized after written consent. Patients with severe carcinoma, intolerance or contraindication to pentoxifylline will not be included. Patients receive either pentoxifylline or placebo 3 times a day for 6 months. Three hundred and forty two patients are necessary to decrease mortality rate by 50% at 2 months in a beta risk of 10% and an alpha risk of 5%. Patients will be seen every month."
cirrhosis,"Hepatitis C is the leading cause of chronic liver disease and cirrhosis in United States veterans. Cirrhosis is associated with impaired antibody responses and increased risk of bacterial infections. We have recently identified that cirrhosis is associated with abnormalities of memory B-cells, cells that make antibodies and help protect against bacterial infections. We have identified that chemicals associated with gut bacteria might play a role in causing these B-cell abnormalities. It is well known that gut bacteria have increased access to the blood in individuals with cirrhosis, a process called bacterial translocation. We hypothesize that reducing bacteria counts in the gut by using poorly-absorbed antibiotics (also known as selective gut decontamination) will partially reverse losses of memory B-cells in cirrhosis by reducing bacterial translocation."
cirrhosis,"Probiotics, due to their ability to modulate intestinal flora, intestinal permeability and immune response, could decrease bacterial translocation and improve immune system alterations in cirrhosis. This could lead not only to improvement in liver function and to prevent bacterial infections and other complications but also to improve CD and to avoid its consequences falls, HRQoL deterioration).||Recently, the investigators have observed that VSL#3 administration to rats with experimental cirrhosis decreases bacterial translocation, inflammatory response and ascites formation, without changes in intestinal flora. This suggests an improvement in intestinal barrier that deserves further investigation.||VSL#3, through decreasing intestinal bacterial translocation and immune system modulation, could improve cognitive function and prevent the consequences of CD, including falls and HRQoL deterioration, in patients with cirrhosis."
cirrhosis,"Acquired dysfunctional immunity in cirrhosis predisposes patients to frequent bacterial infections contributing to disease progression and may lead to the development of acute-on-chronic liver failure (ACLF). Spontaneous bacterial peritonitis (SBP) is one of the most frequent infections in cirrhosis and therefore a trigger for ACLF. ACLF is characterized by systemic inflammation even in the absence of confirmed infection and associated with poor outcome. The source of ascites infection, especially in case of culture-positive SBP and bacterascites, is suspected to be bacterial translocation from gut.||In decompensated cirrhosis, data on the gut microbial translocation in different circulatory compartments is limited. Moreover, the link between gut microbiome and systemic inflammation in liver disease has still not established.||The transjugular intrahepatic portosystemic shunt (TIPS) is applied to treat portal hypertension which frequently leads to intestinal bleeding, life-threatening esophageal bleeding and ascites. Under the procedure of TIPS, the vein blood samples in different compartments (superior mesenteric vein, portal vein and hepatic vein) from patients with decompensated liver cirrhosis are available. Metagenomic next-generation sequencing (mNGS) is a promise approach for the diagnosis of infectious disease because a comprehensive spectrum of potential causes (viral, bacterial, fungal, and parasitic) can be identified by a single assay. Previous study reported that mNGS of cerebrospinal fluid can be applied to diagnosis of meningitis and encephalitis. Comparing to traditional bacterial culture method, mNGS method is more sensitive and rapidly in pathogen detection. Therefore, the circulating microbiome in different compartment can be characterized by means of mNGS.||Here, the study aim to investigate the circulating microbiome from superior mesenteric vein (first venous outflow in gut-liver axis), hepatic vein (liver outflow), peripheral vein and ascites from patients with decompensated liver cirrhosis receiving TIPS. Before TIPS, fecal sample and unary sample are collected. And mNGS method is performed to identify the pathogen in ascites,fecal and blood samples in a single center. Ultimately, the study aim to build up the link between gut microbiome translocation and liver disease."
cirrhosis,"In this pilot study, the investigators aim to assess feasibility of subject identification and data collection, including specimen processing, as well as the rate of enrollment for a future, larger study of the effect of empiric antibiotics for all patients with advanced cirrhosis admitted to the hospital without an existing indication for new antibiotic use. Specifically, the investigators will assess the incidence of infection after the time of enrollment and associated outcomes. Subjects will be randomly assigned to receive antibiotics vs placebo."
