OverallStatus,AdverseEffectsorDeath,DurationDays,EnrollmentCount,ArmNumber
Completed,0.0,132.0,50.0,1
Completed,0.04395604395604396,463.0,91.0,2
Completed,0.006993006993006993,655.0,572.0,2
Completed,0.006944444444444444,149.0,288.0,2
Completed,0.029411764705882353,577.0,136.0,2
Completed,0.0,69.0,27.0,1
Completed,0.0,365.0,33.0,2
Completed,0.04909090909090909,525.0,550.0,4
Completed,0.026402640264026403,1127.0,303.0,4
Completed,0.0045045045045045045,821.0,222.0,4
Completed,0.011834319526627219,619.0,1183.0,5
Completed,0.3738095238095238,158.0,420.0,2
Completed,0.0,179.0,34.0,3
Completed,0.0,247.0,876.0,2
Completed,0.007978723404255319,243.0,376.0,2
Completed,0.0,153.0,40.0,2
Completed,0.0,31.0,88.0,4
Completed,0.4411764705882353,790.0,204.0,1
Completed,0.009523809523809525,212.0,105.0,5
Completed,0.0,669.0,611.0,3
Completed,0.05555555555555555,880.0,18.0,1
Completed,0.0,487.0,36.0,4
Completed,0.0,546.0,50.0,1
Completed,0.0,2007.0,31.0,4
Completed,0.0,1979.0,53.0,2
Completed,0.03177257525083612,776.0,598.0,4
Completed,0.1,458.0,200.0,3
Completed,0.0017482517482517483,365.0,572.0,2
Completed,0.0,342.0,36.0,2
Completed,0.0,296.0,60.0,2
Completed,0.03479471120389701,416.0,1437.0,9
Completed,0.30612244897959184,663.0,49.0,1
Completed,0.041666666666666664,2100.0,384.0,1
Completed,0.0,1218.0,98.0,2
Completed,0.0,152.0,120.0,2
Completed,0.0,1277.0,59.0,1
Completed,0.05555555555555555,758.0,36.0,2
Completed,0.0,700.0,30.0,2
Completed,0.0,90.0,450.0,2
Completed,0.04294478527607362,851.0,163.0,2
Completed,0.005865102639296188,153.0,341.0,1
Completed,0.0,606.0,109.0,2
Completed,0.4375,1249.0,48.0,1
Completed,0.05029585798816568,577.0,338.0,5
Completed,0.12,758.0,50.0,3
Completed,0.0,669.0,234.0,4
Completed,0.03137978772496539,1188.0,2167.0,4
Completed,0.0,608.0,10.0,1
Completed,0.02011672668570719,4475.0,8053.0,2
Completed,1.2429906542056075,1798.0,107.0,2
Completed,0.03695652173913044,666.0,460.0,2
Completed,0.014673514306676448,488.0,1363.0,6
Completed,0.05378973105134474,348.0,409.0,7
Completed,0.0,30.0,21.0,2
Completed,0.023549201009251473,608.0,1189.0,4
Completed,0.048184818481848184,553.0,1515.0,3
Completed,0.004672897196261682,1489.0,214.0,2
Completed,0.013071895424836602,1614.0,153.0,3
Completed,0.035555555555555556,687.0,2250.0,2
Completed,0.6666666666666666,638.0,21.0,1
Completed,0.36715481171548114,1114.0,956.0,2
Completed,0.0,57.0,20.0,2
Completed,0.028,295.0,1000.0,3
Completed,0.0,124.0,30.0,2
Completed,0.0,1584.0,184.0,1
Completed,0.0020898641588296763,518.0,957.0,2
Completed,0.15606936416184972,715.0,173.0,4
Completed,0.0,214.0,30.0,3
Completed,0.09803921568627451,882.0,51.0,1
Completed,0.016666666666666666,305.0,120.0,3
Completed,0.0,123.0,205.0,1
Completed,0.00411522633744856,1704.0,243.0,1
Completed,0.010111223458038422,578.0,989.0,1
Completed,0.0,127.0,206.0,1
Completed,0.01832460732984293,943.0,382.0,2
Completed,0.09523809523809523,516.0,21.0,3
Completed,0.10833333333333334,1203.0,240.0,5
Completed,0.4418604651162791,761.0,86.0,2
Completed,0.13289349670122527,790.0,1061.0,2
Completed,0.026637069922308545,1400.0,901.0,2
Completed,0.031791907514450865,661.0,346.0,3
Completed,0.15,1169.0,20.0,1
Completed,0.25925925925925924,1283.0,27.0,1
