OverallStatus,BriefSummary,Condition,HealthyVolunteers,DurationDays,InterventionType,Phase,Gender,DesignPrimaryPurpose,DesignInterventionModel,LocationCountry,DesignAllocation,EnrollmentCount,ArmNumber,AgeGroups,AdverseEffectsorDeath
Completed,"The study will evaluate the efficacy and safety of imipenem+cilastatin/relebactam (MK-7655A) versus colistimethate sodium+imipenem+cilastatin in the treatment of imipenem-resistant bacterial infections. Infections evaluated in the study will be hospital-acquired bacterial pneumonia (HABP), ventilator-associated bacterial pneumonia (VABP), complicated intra-abdominal infection (cIAI), and complicated urinary tract infection (cUTI).",Bacterial Infections,No,759.0,Drug,Phase 3,All,Treatment,Parallel Assignment,United States,Randomized,50.0,4,elderly-adults,18.0
Completed,"This is a study to assess the pharmacokinetics (PK) of tedizolid phosphate and its active metabolite, tedizolid, and the safety of tedizolid phosphate following administration of a single IV (Part A) or oral suspension (Part B) administration to hospitalized participants ages 6 to <12 years (Groups 1 and 3, respectively), and 2 to <6 years (Groups 2 and 4, respectively).",Gram-Positive Bacterial Infections,No,963.0,Drug,Phase 1,All,Treatment,Parallel Assignment,United States,Non-Randomized,32.0,2,childTeen-infants,1.0
Completed,"The purpose of this study is to determine if NABI-IGIV (10%) [Immune Globulin Intravenous (Human), 10%] is safe and effective in preventing serious bacterial infections (SBIs) in the treatment of patients with primary immune deficiency disorders (PIDD) when compared to historical control data.",Primary Immune Deficiency Disorders (PIDD),No,669.0,Biological,Phase 3,All,Treatment,Single Group Assignment,United States,SingleArmNA,63.0,1,elderly-childTeen,7.0
Completed,The purpose of this study was to determine the efficacy of NewGam in preventing serious bacterial infections and to determine the pharmacokinetic profile of NewGam. The safety of NewGam and its effect on quality of life were also evaluated.,Primary Immunodeficiency Diseases,No,882.0,Biological,Phase 3,All,Treatment,Single Group Assignment,United States,SingleArmNA,51.0,1,allAges,5.0
Completed,"This is a Phase IV, multi-center open-label pharmacokinetic trial studying the pharmacokinetics and pharmacodynamics of a single dose of Minocin IV. Up to 67 subjects will be enrolled to obtain 50 evaluable, ICU patients who are already receiving antimicrobial therapy for a known or suspected Gram-negative infection. The entire study duration will be approximately 16 months and each subject participation duration will be approximately 2 days. The study will be conducted at approximately 13 clinical sites. Each subject will receive a single 200 mg dose of Minocin IV infused over approximately 60 minutes. Each subject will have 7 PK samples collected (1 pre-dose, 6 post-dose) at designated time points over a ~48 hour period following the start of the Minocin IV infusion. The primary objectives are: 1) To characterize minocycline PK at the population level in critically-ill adults, with illness known or suspected to be caused by infection with Gram-negative bacteria and 2) To assess patient-level and clinical covariates associated with minocycline pharmacokinetic properties in critically-ill adults, with illness known or suspected to be caused by infection with Gram-negative bacteria.",Bacterial Infection,No,479.0,Drug,Phase 4,All,Treatment,Single Group Assignment,United States,SingleArmNA,58.0,1,elderly-adults,2.0
Completed,"This study evaluates the safety and clinical benefit of MBN-101 administered intraoperatively to osteosynthesis or osteomyelitis sites for patients diagnosed with an orthopedic infection, with or without orthopaedic hardware. Three quarters of the patients will receive MBN-101, while the other one quarter will receive placebo.",Bacterial Infection,No,793.0,"Other,Drug",Phase 2,All,Treatment,Parallel Assignment,United States,Randomized,29.0,2,elderly-adults,9.0
Completed,"The present controlled, randomized, doubleblind study aims to answer the following questions:||How will the ""normal flora"" be affected by the xylitol consumption?|Will daily consumption of xylitol change the plaque-saliva distribution of the mutans streptococci?|The association of the test results will also be compared with the caries status at the baseline.|About eighty subjects with MS counts of log CFU 5 or more will be identified and invited to the study. They will be randomly divided into a Xylitol and Sorbitol group.|Xylitol/Sorbitol gum (6g polyol/day) will be used for 5 weeks. Saliva samples will be collected before and after gum use.|Studying and quantifying of 16 bacterial species belonging to the normal flora by DNA-DNA hybridizations and Real-time PCR will show how xylitol influenced the oral flora in general.",Bacterial Infections,Accept,61.0,Dietary Supplement,Phase 1|Phase 2,Male,Treatment,Parallel Assignment,Kuwait,Randomized,122.0,2,childTeen,0.0
Completed,The purpose of this study is to determine if intravenous immunoglobulin (IVIG) can prevent bacterial infections in lung transplant patients with low serum levels of immunoglobulin.,Hypogammaglobulinemia|Lung Transplantation,No,1887.0,"Other,Drug",Phase 2,All,Prevention,Crossover Assignment,United States,Randomized,11.0,2,elderly-childTeen,4.0
Completed,The purpose of this study is to better understand how clindamycin works in children who fall in the 85th percentile or higher for body mass index (BMI - a ratio of weight to height). The results of the study will help better understand if children in higher BMI ranges process the medication differently and whether dosing should be adjusted in these children.,Bacterial Infections|Obesity,No,426.0,Drug,Phase 1,All,Basic Science,Single Group Assignment,United States,SingleArmNA,22.0,1,childTeen-infants,1.0
Completed,"The main objective of this study is to see if GAMMAPLEX is efficacious with respect to Food and Drug Administration (FDA) minimal requirements (no more than 1 serious, acute, bacterial infection per subject per year) in subjects with Primary Immunodeficiency Diseases (PID). The secondary objectives are to assess the safety and tolerability of GAMMAPLEX and to determine if GAMMAPLEX has a pharmacokinetic (PK) profile comparable with that of intact Immunoglobulin G (IgG) in subjects with PID.",Primary Immunodeficiency|Common Variable Hypogammaglobulinemia|X-linked Hypogammaglobulinemia|Hypogammaglobulinemia|Immunodeficiency With Hyper-IgM|Wiskott-Aldrich Syndrome,No,669.0,Biological,Phase 3,All,Treatment,Single Group Assignment,United States,SingleArmNA,50.0,1,allAges,6.0
Completed,The purpose of this protocol is to study if two different tablet formulations of doxycycline are bioequivalent to each other.,Bacterial Infection,Accept,30.0,Drug,Phase 4,Male,Basic Science,Crossover Assignment,India,Randomized,24.0,2,adults,0.0
Terminated,This study characterized the pharmacokinetics and safety of a single dose of ceftobiprole in neonates and infants aged ≤ 3 months.,Bacterial Infections,No,1190.0,Drug,Phase 1,All,Treatment,Single Group Assignment,"Lithuania,Latvia,Germany,Poland,United States,Belgium",SingleArmNA,15.0,1,infants,2.0
Completed,The FDA has asked Pfizer to assess the risk of linezolid on QT interval (obtained from ECG readings) which could predispose patients to ventricular arrhythmias. This study is conducted to satisfy this requirement.,Bacterial Infections,Accept,90.0,Drug,Phase 1,All,Basic Science,Crossover Assignment,Singapore,Randomized,49.0,7,adults,0.0
Completed,The purpose of this study is to determine whether ceftaroline is effective and safe in the treatment of complicated skin infections in adults.,Bacterial Infections,No,275.0,Drug,Phase 3,All,Treatment,Parallel Assignment,"Chile,Brazil,Ukraine,Latvia,Mexico,Germany,Poland,Russian Federation,United Kingdom,United States,Austria,Argentina",Randomized,680.0,3,elderly-adults,30.0
Completed,The purpose of this study is to determine whether ceftaroline is effective and safe in the treatment of complicated skin infections in adults.,Bacterial Infections,No,273.0,Drug,Phase 3,All,Treatment,Parallel Assignment,"Chile,Peru,Brazil,Ukraine,Mexico,Germany,Poland,Romania,Russian Federation,United States,Argentina",Randomized,698.0,2,elderly-adults,28.0
Completed,The purpose of this study is to determine whether ceftaroline is effective and safe in the treatment of complicated skin and skin structure infections in adults.,Bacterial Infection,No,151.0,Drug,Phase 2,All,Treatment,Parallel Assignment,United States,Randomized,150.0,3,elderly-adults,4.0
Completed,"This study is aimed to evaluate the efficacy and safety between Tedizolid 200mg daily (intra venous) I.V. to oral for 6-day treatment compared with that of Linezolid 600mg twice daily I.V. to oral for 10-day treatment Acute Bacterial Skin and skin structure infection (ABSSSI).This is a double-blind, randomized, active control, 7-10days treatment for all subjects.",Bacterial Infections,No,776.0,Drug,Phase 3,All,Treatment,Parallel Assignment,"Philippines,United States,China,Taiwan",Randomized,598.0,4,elderly-adults,19.0
Completed,The primary objective of this study is to evaluate the efficacy of 2 different doses of intravenous and oral Debio 1450 compared with intravenous vancomycin and oral linezolid in the treatment of patients with staphylococcal ABSSSI.,Bacterial Infections,No,489.0,Drug,Phase 2,All,Treatment,Parallel Assignment,United States,Randomized,330.0,6,elderly-adults,4.0
Completed,"Detecting serious bacterial infections (SBI) in children presenting to the Pediatric Emergency Department (PED) with fever without source (FWS) is a frequent diagnostic challenge. The recently described Lab-score, based on the combined determination of Procalcitonin, C-Reactive Protein (CRP) and urine dipstick results, has been shown an accurate tool for SBI prediction on retrospective cohorts. The investigators aimed to assess the usefulness of the Lab-score in safely decreasing unnecessary antibiotic prescriptions in children with FWS, and to prospectively determine the diagnostic characteristics of the Lab-score compared to other classically used SBI biomarkers (white blood cell (WBC) count, band count and CRP).",Fever Without Source,No,1034.0,Biological,Not Applicable,All,Diagnostic,Parallel Assignment,Switzerland,Randomized,278.0,2,infants,0.0
Completed,The objective of this extension study is the initial assessment of safety and immunogenicity of the second dose of GBS Trivalent Vaccine following the time interval that is close to the inter-pregnancy interval observed in the general population.,"Bacterial Infection Due to Streptococcus, Group B",Accept,218.0,Biological,Phase 2,Female,Prevention,Parallel Assignment,Belgium,Non-Randomized,80.0,1,adults,0.0
Completed,The purpose of this study is to compare between the POCone® to the UBiT®-IR300 in measuring 13CO2/12CO2 ratio in breath samples when used together with the BreathTek® UBT (urea breath test) Kit and the pUHR-CA web-based software program in identifying H. pylori infection in pediatric subjects.,Bacterial Infection Due to Helicobacter Pylori (H. Pylori),No,274.0,Other,Phase 4,All,Diagnostic,Single Group Assignment,United States,SingleArmNA,99.0,1,adults-infants,0.0
Completed,This study was designed to evaluate the efficacy of delafloxacin patients with acute bacterial skin and soft tissue infections (ABSSSI).,Skin and Subcutaneous Tissue Bacterial Infections,No,456.0,Drug,Phase 3,All,Treatment,Parallel Assignment,"Israel,Ukraine,Latvia,Russian Federation,United States,Croatia,Spain",Randomized,660.0,4,elderly-adults,26.0
Completed,"This is a randomized, double-blind, double-dummy, multicenter, global Phase 3 study of IV to oral TR-701 FA 200 mg once daily for 6 days versus IV to oral Zyvox® (linezolid) 600 mg every 12 hours for 10 days for the treatment of ABSSSI in adults. Patients are to start treatment with at least 2 IV doses and may receive IV therapy for the entire treatment duration.||Approximately 100 to 140 sites globally will participate in this study. Patients with an ABSSSI caused by suspected or documented gram positive pathogen(s) at baseline will be randomized 1:1 to study treatment.",Skin and Subcutaneous Tissue Bacterial Infections,No,483.0,Drug,Phase 3,All,Treatment,Parallel Assignment,"New Zealand,Brazil,Mexico,Germany,Poland,Australia,Russian Federation,United States,Spain,South Africa,Argentina",Randomized,666.0,2,elderly-adults,16.0
