"APIVrs: 1.01.03"
"DataVrs: 2021:10:13 22:57:14.023"
"Expression: bacterial infection"
"NStudiesAvail: 392193"
"NStudiesFound: 7653"
"MinRank: 4001"
"MaxRank: 5000"
"NStudiesReturned: 1000"
"Field Names: OverallStatus,BriefSummary,Condition,HealthyVolunteers,StudyType,StartDate,CompletionDate,InterventionName,InterventionType,Phase,Gender,MaximumAge,MinimumAge,DesignPrimaryPurpose,DesignInterventionModel,LocationCountry,DesignAllocation,EnrollmentCount,EventGroupDeathsNumAffected,EventGroupSeriousNumAffected"

"Rank","OverallStatus","BriefSummary","Condition","HealthyVolunteers","StudyType","StartDate","CompletionDate","InterventionName","InterventionType","Phase","Gender","MaximumAge","MinimumAge","DesignPrimaryPurpose","DesignInterventionModel","LocationCountry","DesignAllocation","EnrollmentCount","EventGroupDeathsNumAffected","EventGroupSeriousNumAffected"
4001,"Unknown status","The aim of this single-center randomized controlled trial is to assess clinical usefulness of positron emission tomography combined with computed tomography (PET CT) in the diagnostic process of suspected cardiovascular implantable electronic device (CIED) infection (lead dependent infective endocarditis, generator pocket infection, fever of unknown origin).","Complications|Infective Endocarditis|Implant Site Pocket Infection|Fever of Unknown Origin","No","Observational","March 2014","March 2017","PET CT","Other",,"All",,"18 Years",,,"Poland",,"40",,
4002,"Terminated","This clinical study is conducted to assess the safety and immunogenicity of a Clostridium difficile vaccine (CDVAX) in healthy adult volunteers.","Clostridium Difficile Infection","Accepts Healthy Volunteers","Interventional","January 2017","June 8, 2017","CDVAX","Biological","Phase 1","Male","50 Years","18 Years","Prevention","Single Group Assignment",,"N/A","3",,
4003,"Terminated","Background:||When a person is exposed to something that causes an infection, the body sends a type of cell called CD8 T cells to attack it. Those cells are also found in breast milk. Nursing mothers pass these cells to their child, which helps the child fight infections, too. Researchers want to learn more about how CD8 cells work to keep people healthy.||Objective:||To learn more about how the human body fights off infections.||Eligibility:||People age 18 years and older who either have an infection, are suspected to have an infection, or recently got a vaccine.||The household contacts of these people and people who have not been recently exposed to any infection are also needed.||Design:||Participants will be screened with a medical and health history and physical exam. They may have blood tests.||The first study visit can be the same day as screening. It can be up to 3 months later. For those visits, screening tests will be repeated.||At the first visit, participants will have blood collected from an arm vein.||Participants who are breastfeeding may provide a small sample of breast milk. They may collect it at home or bring a pumping device to NIH to collect it. NIH can also provide a breast pump.||Participants may be contacted for up to 1 year after the first visit to give samples of blood and/or breast milk.||Up to 4 additional visits, which will each take about 1 hour, may be scheduled.||A personal physician or local lab can collect blood from participants and ship it to NIH. Breast milk cannot be shipped.","Immune Modulation|Tuberculosis|Leprosy|Pertussis|Lyme Disease","No","Observational","March 28, 2017","November 8, 2019",,,,"All","99 Years","18 Years",,,"United States",,"10",,
4004,"Completed","The goal of this study is to determine the outcome of patients with recurrent CDI treated with fresh FMT versus frozen-and-thawed FMT in a randomized controlled trial. The specific objectives are to evaluate the safety of both types of FMT and to compare the clinical response, treatment failure and relapse rate in patients treated with fresh FMT compared to those treated with frozen-and-thawed FMT; also to assess the functional health and well-being of patients in each arm using a validated tool. The metagenomics will also be conducted from the stool samples collected from select patients from each arm: pre and post treatment and the matching donors. The metagenomics data will be used to determine the bacteria which may have contributed to the cure of CDI.","Clostridium Difficile Infection","No","Interventional","July 2012","March 2015","Fresh FMT|Frozen-and-Thawed FMT","Biological|Biological","Phase 2","All",,"18 Years","Prevention","Parallel Assignment","Canada|Canada|Canada|Canada","Randomized","232",,
4005,"Not yet recruiting","The investigators propose a cluster-randomized clinical trial to determine whether an intensive, targeted azithromycin distribution strategy is effective for elimination of trachoma at the kebele level compared to the World Health Organization (WHO) recommendation of annual azithromycin distribution.","Trachoma","No","Interventional","December 1, 2021","December 1, 2027","Azithromycin","Drug","Phase 4","All",,,"Treatment","Parallel Assignment","United States|Ethiopia","Randomized","320000",,
4006,"Terminated","For more than fifty years, vancomycin has been cited as a nephrotoxic agent. Reports of vancomycin induced kidney injury (a.k.a vancomycin induced nephrotoxicity or VIN), have waxed and waned throughout the years for various reasons. Recently, VIN has reemerged as a clinical concern. This may be due to various reasons, including new dosing recommendations as well as an increased prevalence of risk factors associated with vancomycin induced nephrotoxicity. This study aims to evaluate a strategy which attempts to reduce kidney damage from vancomycin use.","Health Care Associated Pneumonia|Osteomyelitis/Septic Arthritis|Endocarditis|Bacteremia|Acute Bacterial Skin and Skin Structure Infections","No","Interventional","October 2011",,"Vancomycin|Ceftaroline|Daptomycin|Linezolid","Drug|Drug|Drug|Drug","Phase 4","All",,"18 Years","Prevention","Parallel Assignment","United States","Randomized","100",,
4007,"Completed","The investigators will evaluate differences in host immune responses (levels of cytokines and chemokines, representative of innate, Th1, and Th17 immune responses) in acute sera from adult patients with solitary or multiple erythema migrans.","Erythema Migrans","No","Observational","June 1, 2006","May 31, 2019","antibiotic treatment","Other",,"All",,"18 Years",,,"Slovenia",,"134",,
4008,"Unknown status","The investigators hypothesized that quantitative PCR can be used in VRE bacteremia outcome monitoring. Vancomycin-resistant enterococci (VRE) was first found in 1988 and has become an important healthcare-associated pathogen due to rapid spread, limited options for therapy and the possibility of transferring vancomycin resistance to more virulent pathogens. VRE infections not only contribute to more hospital cost and longer length of hospital stay, but also higher attributable mortality compared to those caused by vancomycin susceptible enterococci. Two different meta-analyses have shown that vancomycin resistance is an independent predictor of death among patients with enterococcal bloodstrem infections (BSIs). Despite this, few effective antibiotics are approved by the US Food and Drug Administration for the treatment of serious VRE infections. Though several studies have conducted to find the possible mortality predictors, but none has used bacterial load as a marker.||Schonheyder et al. have used semiquantitative culture, and demonstrate the relationship between high bacterial load and mortality. However, it may take more than two days before culture result available, and the sensitivity of culture is greatly affected by antimicrobial treatment. Real-time PCR has been demonstrate good performance in early detection of bacteremia, and theoretically is less affected by antimicrobial usage. However, using quantitative real-time PCR to quantify VRE in blood has not been explored, yet.||The objective of this study is to establish a quantitative method to measure the amounts of VRE in blood using the VRE specific van gene. And test the hypothesis that higher VRE load in blood results in higher mortality among patients with VRE BSIs.||Primers and probe of VRE Real-time PCR will be constructed first. The investigators will prospective enroll patient with VRE bacteremia. Clinical data and outcome will be monitored. Bacteria load of VRE bacteremia will be measured via established real-time PCR. The outcome and the association of bacteria load of VRE bacteremia will be analyzed.","Bacteremia","No","Observational","December 2010","December 2013",,,,"All",,"18 Years",,,"Taiwan",,"200",,
4009,"Completed","This is a study of safety and efficacy of ceftaroline fosamil in Subjects with Staphylococcus aureus Bacteremia or with Methicillin-Resistant Staphylococcus aureus (MRSA) Bacteremia persisting after at least 72 hours of vancomycin and/or daptomycin treatment.","Staphylococcus Aureus Bacteremia|Methicillin-resistant Staphylococcus Aureus (MRSA) Bacteremia","No","Interventional","January 2013","July 2014","Ceftaroline fosamil","Drug","Phase 4","All",,"18 Years","Treatment","Parallel Assignment","United States|United States|United States|United States|United States|United States|United States|United States|United States|United States|United States|United States|United States|United States|United States|United States|United States|United States|United States|United States|United States|United States|United States|United States|United States|United States|United States","Non-Randomized","56",,
4010,"Withdrawn","The main purpose of this study is to determine if ocular Chlamydia trachomatis infection can be eliminated in communities in Nepal following mass antibiotic distributions with azithromycin. The investigators will study both clinical trachoma and ocular C. trachomatis infection. The overall objective is to determine if the current World Health Organization (WHO) treatment strategy results in elimination of trachoma and infection.||The investigators hypothesize that 24 communities in Kanchanpur, Kailali, and Achham districts of Nepal which receive mass antibiotic treatments will achieve elimination of trachoma as a public health problem (clinical disease <5% in children 1-9 years old) more frequently than communities which have not received antibiotic treatments.|The investigators hypothesize that infection with C. trachomatis will be undetectable in all members within a community following mass treatment as determined by the most highly sensiti1. The investigators hypothesize that 24 communities in Kanchanpur, Kailali, and Achham districts of Nepal which receive mass antibiotic treatments will achieve elimination of trachoma as a public health problem (clinical disease <5% in children 1-9 years old) more frequently than communities which have not received antibiotic treatments.||2. The investigators hypothesize that infection with C. trachomatis will be undetectable in all members within a community following mass treatment as determined by the most highly sensitive nucleic acid amplification testing available (mRNA-based APTIMA and DNA-based AMPLICOR PCR).ve nucleic acid amplification testing available (mRNA-based APTIMA and DNA-based AMPLICOR PCR).","Trachoma","No","Interventional","August 2014",,"Azithromycin","Drug","Phase 2|Phase 3","All","9 Years","1 Year","Treatment","Parallel Assignment","Nepal","Randomized","0",,
