,AZN,Dates
0,43.829044,2010-01-04
1,44.240784,2010-01-05
2,44.921402,2010-01-06
3,46.425518,2010-01-07
4,46.568356,2010-01-08
5,46.425518,2010-01-11
6,46.391891,2010-01-12
7,46.610371,2010-01-13
8,47.072533,2010-01-14
9,47.080917,2010-01-15
10,47.862411,2010-01-19
11,46.996895,2010-01-20
12,45.988564,2010-01-21
13,45.408775,2010-01-22
14,45.744896,2010-01-25
15,45.845715,2010-01-26
16,44.45924,2010-01-27
17,43.854252,2010-01-28
18,43.627369,2010-01-29
19,43.862656,2010-02-01
20,44.660927,2010-02-02
21,44.148357,2010-02-03
22,42.929951,2010-02-04
23,42.904739,2010-02-05
24,43.215637,2010-02-08
25,43.618977,2010-02-09
26,43.375298,2010-02-10
27,43.837437,2010-02-11
28,43.745014,2010-02-12
29,44.366829,2010-02-16
30,44.5937,2010-02-17
31,44.736542,2010-02-18
32,44.669334,2010-02-19
33,44.610512,2010-02-22
34,44.215572,2010-02-23
35,44.442448,2010-02-24
36,44.400433,2010-02-25
37,44.618904,2010-02-26
38,45.223907,2010-03-01
39,45.761692,2010-03-02
40,45.467602,2010-03-03
41,45.417175,2010-03-04
42,46.249043,2010-03-05
43,46.25745,2010-03-08
44,46.215439,2010-03-09
45,46.459118,2010-03-10
46,46.828846,2010-03-11
47,46.408714,2010-03-12
48,46.568356,2010-03-15
49,46.576771,2010-03-16
50,47.282616,2010-03-17
51,47.61031,2010-03-18
52,47.593502,2010-03-19
53,47.769962,2010-03-22
54,47.896004,2010-03-23
55,48.702663,2010-03-24
56,48.467388,2010-03-25
57,47.776562,2010-03-26
58,48.172531,2010-03-29
59,48.450539,2010-03-30
60,48.206215,2010-03-31
61,48.568493,2010-04-01
62,48.736992,2010-04-05
63,48.678005,2010-04-06
64,48.164097,2010-04-07
65,48.105141,2010-04-08
66,48.560074,2010-04-09
67,48.560074,2010-04-12
68,48.172531,2010-04-13
69,48.619038,2010-04-14
70,48.939186,2010-04-15
71,48.223083,2010-04-16
72,48.416847,2010-04-19
73,49.242474,2010-04-20
74,48.80439,2010-04-21
75,48.627464,2010-04-22
76,49.613163,2010-04-23
77,49.545761,2010-04-26
78,48.475815,2010-04-27
79,48.930756,2010-04-28
80,49.368843,2010-04-29
81,48.391567,2010-04-30
82,48.964451,2010-05-03
83,48.399994,2010-05-04
84,48.206215,2010-05-05
85,47.389038,2010-05-06
86,45.594563,2010-05-07
87,47.902946,2010-05-10
88,47.810265,2010-05-11
89,48.206215,2010-05-12
90,48.416847,2010-05-13
91,47.565952,2010-05-14
92,47.6502,2010-05-17
93,47.1026,2010-05-18
94,46.94252,2010-05-19
95,45.392376,2010-05-20
96,44.398262,2010-05-21
97,44.802635,2010-05-24
98,44.305584,2010-05-25
99,43.96859,2010-05-26
100,45.046967,2010-05-27
101,44.676285,2010-05-28
102,44.16238,2010-06-01
103,45.249153,2010-06-02
104,45.518742,2010-06-03
105,43.78326,2010-06-04
106,42.645897,2010-06-07
107,42.595371,2010-06-08
108,41.685505,2010-06-09
109,41.5844,2010-06-10
110,42.620636,2010-06-11
111,42.502697,2010-06-14
112,43.572636,2010-06-15
113,44.002293,2010-06-16
114,43.842232,2010-06-17
115,43.656891,2010-06-18
116,43.454685,2010-06-21
117,42.915485,2010-06-22
118,43.084003,2010-06-23
119,42.292088,2010-06-24
120,42.20784,2010-06-25
121,43.128876,2010-06-28
122,42.385277,2010-06-29
123,42.300789,2010-06-30
124,42.047279,2010-07-01
125,42.148682,2010-07-02
126,42.60498,2010-07-06
127,44.151333,2010-07-07
128,44.345673,2010-07-08
129,44.261181,2010-07-09
130,44.058392,2010-07-12
131,44.886471,2010-07-13
132,44.827347,2010-07-14
133,44.413296,2010-07-15
134,43.26408,2010-07-16
135,43.542938,2010-07-19
136,43.34013,2010-07-20
137,39.503819,2010-07-21
138,39.82494,2010-07-22
139,40.416428,2010-07-23
140,39.850269,2010-07-26
141,40.129116,2010-07-27
142,39.588333,2010-07-28
143,38.996826,2010-07-29
144,39.35173,2010-07-30
145,40.213627,2010-08-02
146,40.357285,2010-08-03
147,40.492474,2010-08-04
148,40.610779,2010-08-05
149,40.534729,2010-08-06
150,40.619236,2010-08-09
151,40.247417,2010-08-10
152,39.39397,2010-08-11
153,39.436226,2010-08-12
154,39.35173,2010-08-13
155,39.284122,2010-08-16
156,39.45311,2010-08-17
157,39.596779,2010-08-18
158,38.751766,2010-08-19
159,38.709526,2010-08-20
160,38.988361,2010-08-23
161,36.504078,2010-08-24
162,36.436474,2010-08-25
163,36.233673,2010-08-26
164,37.18008,2010-08-27
165,36.799812,2010-08-30
166,36.495605,2010-08-31
167,37.720879,2010-09-01
168,38.633476,2010-09-02
169,38.946129,2010-09-03
170,38.853172,2010-09-07
171,38.430695,2010-09-08
172,38.971478,2010-09-09
173,39.436226,2010-09-10
174,39.968578,2010-09-13
175,40.898079,2010-09-14
176,41.143139,2010-09-15
177,41.185375,2010-09-16
178,40.585415,2010-09-17
179,41.185375,2010-09-20
180,40.991016,2010-09-21
181,40.576977,2010-09-22
182,40.500931,2010-09-23
183,41.996578,2010-09-24
