Dates,AZN
2010-01-04,43.829044
2010-01-05,44.240784
2010-01-06,44.921402
2010-01-07,46.425518
2010-01-08,46.568356
2010-01-11,46.425518
2010-01-12,46.391891
2010-01-13,46.610371
2010-01-14,47.072533
2010-01-15,47.080917
2010-01-19,47.862411
2010-01-20,46.996895
2010-01-21,45.988564
2010-01-22,45.408775
2010-01-25,45.744896
2010-01-26,45.845715
2010-01-27,44.45924
2010-01-28,43.854252
2010-01-29,43.627369
2010-02-01,43.862656
2010-02-02,44.660927
2010-02-03,44.148357
2010-02-04,42.929951
2010-02-05,42.904739
2010-02-08,43.215637
2010-02-09,43.618977
2010-02-10,43.375298
2010-02-11,43.837437
2010-02-12,43.745014
2010-02-16,44.366829
2010-02-17,44.5937
2010-02-18,44.736542
2010-02-19,44.669334
2010-02-22,44.610512
2010-02-23,44.215572
2010-02-24,44.442448
2010-02-25,44.400433
2010-02-26,44.618904
2010-03-01,45.223907
2010-03-02,45.761692
2010-03-03,45.467602
2010-03-04,45.417175
2010-03-05,46.249043
2010-03-08,46.25745
2010-03-09,46.215439
2010-03-10,46.459118
2010-03-11,46.828846
2010-03-12,46.408714
2010-03-15,46.568356
2010-03-16,46.576771
2010-03-17,47.282616
2010-03-18,47.61031
2010-03-19,47.593502
2010-03-22,47.769962
2010-03-23,47.896004
2010-03-24,48.702663
2010-03-25,48.467388
2010-03-26,47.776562
2010-03-29,48.172531
2010-03-30,48.450539
2010-03-31,48.206215
2010-04-01,48.568493
2010-04-05,48.736992
2010-04-06,48.678005
2010-04-07,48.164097
2010-04-08,48.105141
2010-04-09,48.560074
2010-04-12,48.560074
2010-04-13,48.172531
2010-04-14,48.619038
2010-04-15,48.939186
2010-04-16,48.223083
2010-04-19,48.416847
2010-04-20,49.242474
2010-04-21,48.80439
2010-04-22,48.627464
2010-04-23,49.613163
2010-04-26,49.545761
2010-04-27,48.475815
2010-04-28,48.930756
2010-04-29,49.368843
2010-04-30,48.391567
2010-05-03,48.964451
2010-05-04,48.399994
2010-05-05,48.206215
2010-05-06,47.389038
2010-05-07,45.594563
2010-05-10,47.902946
2010-05-11,47.810265
2010-05-12,48.206215
2010-05-13,48.416847
2010-05-14,47.565952
2010-05-17,47.6502
2010-05-18,47.1026
2010-05-19,46.94252
2010-05-20,45.392376
2010-05-21,44.398262
2010-05-24,44.802635
2010-05-25,44.305584
2010-05-26,43.96859
2010-05-27,45.046967
2010-05-28,44.676285
2010-06-01,44.16238
2010-06-02,45.249153
2010-06-03,45.518742
2010-06-04,43.78326
2010-06-07,42.645897
2010-06-08,42.595371
2010-06-09,41.685505
2010-06-10,41.5844
2010-06-11,42.620636
2010-06-14,42.502697
2010-06-15,43.572636
2010-06-16,44.002293
2010-06-17,43.842232
2010-06-18,43.656891
2010-06-21,43.454685
2010-06-22,42.915485
2010-06-23,43.084003
2010-06-24,42.292088
2010-06-25,42.20784
2010-06-28,43.128876
2010-06-29,42.385277
2010-06-30,42.300789
2010-07-01,42.047279
2010-07-02,42.148682
2010-07-06,42.60498
2010-07-07,44.151333
2010-07-08,44.345673
2010-07-09,44.261181
2010-07-12,44.058392
2010-07-13,44.886471
2010-07-14,44.827347
2010-07-15,44.413296
2010-07-16,43.26408
2010-07-19,43.542938
2010-07-20,43.34013
2010-07-21,39.503819
2010-07-22,39.82494
2010-07-23,40.416428
2010-07-26,39.850269
2010-07-27,40.129116
2010-07-28,39.588333
2010-07-29,38.996826
2010-07-30,39.35173
2010-08-02,40.213627
2010-08-03,40.357285
2010-08-04,40.492474
2010-08-05,40.610779
2010-08-06,40.534729
2010-08-09,40.619236
2010-08-10,40.247417
2010-08-11,39.39397
2010-08-12,39.436226
2010-08-13,39.35173
2010-08-16,39.284122
2010-08-17,39.45311
2010-08-18,39.596779
2010-08-19,38.751766
2010-08-20,38.709526
2010-08-23,38.988361
2010-08-24,36.504078
2010-08-25,36.436474
2010-08-26,36.233673
2010-08-27,37.18008
2010-08-30,36.799812
2010-08-31,36.495605
2010-09-01,37.720879
2010-09-02,38.633476
2010-09-03,38.946129
2010-09-07,38.853172
2010-09-08,38.430695
2010-09-09,38.971478
2010-09-10,39.436226
2010-09-13,39.968578
2010-09-14,40.898079
2010-09-15,41.143139
2010-09-16,41.185375
2010-09-17,40.585415
2010-09-20,41.185375
2010-09-21,40.991016
2010-09-22,40.576977
2010-09-23,40.500931
2010-09-24,41.996578
2010-09-27,41.531834
2010-09-28,42.472645
2010-09-29,42.582836
2010-09-30,42.421791
2010-10-01,42.387886
2010-10-04,41.845413
2010-10-05,42.862553
2010-10-06,42.760818
2010-10-07,42.192947
2010-10-08,42.108181
2010-10-11,42.20142
2010-10-12,41.574207
2010-10-13,41.77763
2010-10-14,41.387745
2010-10-15,41.565727
2010-10-18,42.811668
2010-10-19,42.438747
2010-10-20,42.862553
2010-10-21,43.498234
2010-10-22,42.879482
2010-10-25,43.455833
2010-10-26,43.421944
2010-10-27,43.142258
2010-10-28,42.548946
2010-10-29,41.947151
2010-11-01,41.794582
2010-11-02,42.294655
2010-11-03,43.438915
2010-11-04,43.871151
2010-11-05,44.439056
2010-11-08,44.150875
2010-11-09,44.218693
2010-11-10,44.176304
2010-11-11,44.235645
2010-11-12,43.727081
2010-11-15,43.582993
2010-11-16,42.972725
2010-11-17,42.862553
2010-11-18,43.557556
2010-11-19,43.769463
2010-11-22,43.557556
2010-11-23,43.125298
2010-11-24,43.481277
2010-11-26,43.616894
2010-11-29,43.03207
2010-11-30,42.455708
2010-12-01,43.184635
2010-12-02,43.566032
2010-12-03,44.167816
2010-12-06,43.676224
2010-12-07,43.464333
2010-12-08,44.150875
2010-12-09,44.922192
2010-12-10,44.922192
2010-12-13,44.989983
2010-12-14,45.812138
2010-12-15,45.388348
2010-12-16,46.091866
2010-12-17,46.218994
2010-12-20,46.447842
2010-12-21,45.922325
2010-12-22,46.091866
2010-12-23,45.515491
2010-12-27,45.778233
2010-12-28,45.812138
2010-12-29,46.00774
2010-12-30,45.990738
2010-12-31,45.667572
2011-01-03,46.415943
2011-01-04,46.228848
2011-01-05,46.483971
2011-01-06,46.466965
2011-01-07,46.194828
2011-01-10,46.517986
2011-01-11,49.32439
2011-01-12,49.1628
2011-01-13,49.026733
2011-01-14,49.171318
2011-01-18,49.656036
2011-01-19,48.967201
2011-01-20,48.644054
2011-01-21,49.026733
2011-01-24,48.984211
2011-01-25,49.639038
2011-01-26,48.771618
2011-01-27,49.417934
2011-01-28,48.644054
2011-01-31,48.950207
2011-02-01,49.783607
2011-02-02,49.494469
2011-02-03,49.67305
2011-02-04,49.758118
2011-02-07,50.583004
2011-02-08,50.770096
2011-02-09,50.855148
2011-02-10,50.982712
2011-02-11,51.212307
2011-02-14,51.441936
2011-02-15,51.246334
2011-02-16,51.901169
2011-02-17,51.688568
2011-02-18,53.576504
2011-02-22,52.658028
2011-02-23,52.521965
2011-02-24,52.351883
2011-02-25,53.62751
2011-02-28,53.797585
2011-03-01,53.125759
2011-03-02,53.62751
2011-03-03,54.903141
2011-03-04,54.146271
2011-03-07,53.84013
2011-03-08,55.336872
2011-03-09,54.733044
2011-03-10,53.50845
2011-03-11,53.593491
2011-03-14,53.015198
2011-03-15,52.224308
2011-03-16,51.314365
2011-03-17,51.526974
