DATE,PAYEMS
1959-01-01,52726.666666666667
1959-04-01,53517.333333333333
1959-07-01,53522.666666666667
1959-10-01,53722.000000000000
1960-01-01,54413.666666666667
1960-04-01,54545.333333333333
1960-07-01,54268.333333333333
1960-10-01,53948.333333333333
1961-01-01,53633.000000000000
1961-04-01,53796.666666666667
1961-07-01,54269.666666666667
1961-10-01,54712.000000000000
1962-01-01,55118.000000000000
1962-04-01,55624.666666666667
1962-07-01,55854.000000000000
1962-10-01,56041.666666666667
1963-01-01,56221.666666666667
1963-04-01,56618.333333333333
1963-07-01,56927.333333333333
1963-10-01,57299.666666666667
1964-01-01,57712.333333333333
1964-04-01,58076.666666666667
1964-07-01,58644.666666666667
1964-10-01,59144.000000000000
1965-01-01,59795.000000000000
1965-04-01,60480.000000000000
1965-07-01,61227.666666666667
1965-10-01,62012.333333333333
1966-01-01,62839.000000000000
1966-04-01,63753.333333333333
1966-07-01,64483.666666666667
1966-10-01,65024.000000000000
1967-01-01,65455.333333333333
1967-04-01,65612.000000000000
1967-07-01,66065.000000000000
1967-10-01,66609.333333333333
1968-01-01,67104.666666666667
1968-04-01,67704.333333333333
1968-07-01,68313.333333333333
1968-10-01,68984.333333333333
1969-01-01,69681.000000000000
1969-04-01,70345.333333333333
1969-07-01,70883.666666666667
1969-10-01,71149.333333333333
1970-01-01,71310.666666666667
1970-04-01,71167.000000000000
1970-07-01,70978.000000000000
1970-10-01,70574.000000000000
1971-01-01,70844.000000000000
1971-04-01,71179.000000000000
1971-07-01,71434.000000000000
1971-10-01,71866.000000000000
1972-01-01,72677.666666666667
1972-04-01,73463.000000000000
1972-07-01,74038.000000000000
1972-10-01,74971.666666666667
1973-01-01,75971.666666666667
1973-04-01,76663.333333333333
1973-07-01,77119.000000000000
1973-10-01,77852.666666666667
1974-01-01,78216.666666666667
1974-04-01,78511.666666666667
1974-07-01,78621.666666666667
1974-10-01,78182.333333333333
1975-01-01,76953.000000000000
1975-04-01,76535.000000000000
1975-07-01,77050.333333333333
1975-10-01,77747.333333333333
1976-01-01,78789.000000000000
1976-04-01,79326.666666666667
1976-07-01,79714.333333333333
1976-10-01,80199.666666666667
1977-01-01,81023.000000000000
1977-04-01,82101.333333333333
1977-07-01,83147.000000000000
1977-10-01,84127.666666666667
1978-01-01,85000.666666666667
1978-04-01,86540.333333333333
1978-07-01,87436.000000000000
1978-10-01,88339.333333333333
1979-01-01,89114.000000000000
1979-04-01,89771.333333333333
1979-07-01,90281.333333333333
1979-10-01,90575.333333333333
1980-01-01,90892.333333333333
1980-04-01,90456.666666666667
1980-07-01,90050.666666666667
1980-10-01,90726.666666666667
1981-01-01,91116.000000000000
1981-04-01,91356.333333333333
1981-07-01,91547.666666666667
1981-10-01,91148.666666666667
1982-01-01,90520.666666666667
1982-04-01,90040.666666666667
1982-07-01,89355.666666666667
1982-10-01,88821.333333333333
1983-01-01,88999.000000000000
1983-04-01,89676.333333333333
1983-07-01,90604.333333333333
1983-10-01,91875.000000000000
1984-01-01,93086.333333333333
1984-04-01,94123.000000000000
1984-07-01,95055.000000000000
1984-10-01,95906.000000000000
1985-01-01,96572.333333333333
