Date,AZN.Open,AZN.High,AZN.Low,AZN.Close,AZN.Volume,AZN.Adjusted
04/01/2010,23.709999,23.764999,23.575001,23.705,2606200,13.440908
05/01/2010,23.434999,23.465,23.15,23.225,2666600,13.168744
06/01/2010,22.915001,23.045,22.785,23.040001,3020800,13.063849
07/01/2010,23.25,23.325001,23.120001,23.290001,4454600,13.205604
08/01/2010,23.27,23.415001,23.174999,23.389999,2675600,13.2623
11/01/2010,23.73,23.915001,23.690001,23.809999,4584000,13.500443
12/01/2010,23.625,23.735001,23.57,23.700001,3153200,13.438074
13/01/2010,24.15,24.280001,23.995001,24.254999,4653000,13.752764
14/01/2010,24.635,24.74,24.57,24.695,5256200,14.002244
15/01/2010,24.545,24.565001,24.290001,24.424999,1553000,13.849152
19/01/2010,24.795,25.254999,24.790001,25.200001,5796000,14.288582
20/01/2010,25.094999,25.125,24.775,25.094999,4256400,14.229045
21/01/2010,25.315001,25.35,24.764999,24.764999,6323200,14.04194
22/01/2010,24.665001,25.094999,24.41,24.42,2438600,13.846319
25/01/2010,24.635,24.805,24.559999,24.73,2686400,14.022091
26/01/2010,24.764999,25.09,24.73,25.035,3648200,14.19503
27/01/2010,24.674999,24.934999,24.59,24.82,2561200,14.073118
28/01/2010,23.805,23.969999,23.25,23.48,12996600,13.313333
29/01/2010,23.405001,23.535,23.235001,23.245001,2158000,13.180086
01/02/2010,23.309999,23.42,23.225,23.42,3013200,13.279311
02/02/2010,23.34,23.545,23.305,23.434999,4070600,13.287816
03/02/2010,22.684999,22.75,22.455,22.49,3387000,13.234854
04/02/2010,22.23,22.285,21.915001,21.915001,3697000,12.89648
05/02/2010,21.540001,21.594999,21.105,21.525,4933600,12.666974
08/02/2010,21.635,21.83,21.565001,21.565001,2670000,12.690512
09/02/2010,22.135,22.285,21.834999,22.055,5511800,12.978868
10/02/2010,22.01,22.125,21.924999,21.99,3230600,12.940612
11/02/2010,22.17,22.26,21.924999,22.209999,2424200,13.070077
12/02/2010,21.889999,21.969999,21.77,21.969999,2435600,12.928843
16/02/2010,21.780001,21.995001,21.684999,21.965,2120800,12.925902
17/02/2010,21.985001,22.040001,21.924999,21.965,1293400,12.925902
18/02/2010,21.844999,21.975,21.76,21.955,1651200,12.920021
19/02/2010,21.745001,21.879999,21.67,21.825001,1801200,12.843513
22/02/2010,21.934999,21.934999,21.674999,21.775,1354800,12.814093
23/02/2010,21.895,21.915001,21.674999,21.715,2120200,12.778779
24/02/2010,21.709999,21.9,21.700001,21.75,1630600,12.79938
25/02/2010,21.57,21.575001,21.35,21.57,2276600,12.693457
26/02/2010,21.93,22.075001,21.790001,22.059999,9691600,12.981811
01/03/2010,21.975,22.059999,21.879999,21.995001,4172000,12.943558
02/03/2010,22.145,22.245001,22.02,22.18,1840200,13.052424
03/03/2010,22.209999,22.455,22.17,22.334999,1887600,13.143643
04/03/2010,22.540001,22.540001,22.34,22.405001,1946600,13.184831
05/03/2010,22.434999,22.75,22.415001,22.73,1942800,13.376088
08/03/2010,22.389999,22.440001,22.190001,22.365,3704800,13.161294
09/03/2010,22.1,22.235001,22.084999,22.205,2018200,13.067139
10/03/2010,22.014999,22.205,22.01,22.190001,2657400,13.058311
11/03/2010,21.995001,22.139999,21.93,21.995001,3445000,12.943558
12/03/2010,22.174999,22.24,22.040001,22.174999,3740400,13.049484
15/03/2010,22.035,22.17,21.965,22.155001,2974600,13.037715
16/03/2010,22.110001,22.235001,22.08,22.195,2572800,13.061253
17/03/2010,22.315001,22.385,22.200001,22.355,1594000,13.155409
18/03/2010,22.360001,22.415001,22.190001,22.370001,1957000,13.164235
19/03/2010,22.055,22.280001,22,22.055,1857000,12.978868
22/03/2010,22.309999,22.525,22.275,22.465,2447800,13.22014
23/03/2010,22.434999,22.575001,22.360001,22.575001,1945600,13.284872
24/03/2010,22.34,22.389999,22.215,22.26,2102600,13.099506
25/03/2010,22.52,22.540001,22.290001,22.290001,1762200,13.117157
26/03/2010,22.264999,22.360001,22.205,22.305,1306600,13.125987
29/03/2010,22.370001,22.459999,22.27,22.450001,1235600,13.211315
30/03/2010,22.355,22.395,22.15,22.25,2231800,13.093618
31/03/2010,22.235001,22.434999,22.219999,22.360001,2035400,13.158351
01/04/2010,22.445,22.555,22.379999,22.475,1411000,13.22603
05/04/2010,22.469999,22.514999,22.434999,22.434999,834000,13.202488
06/04/2010,22.225,22.385,22.190001,22.315001,1840600,13.131869
07/04/2010,22.35,22.514999,22.344999,22.434999,2546200,13.202488
08/04/2010,22.33,22.424999,22.27,22.325001,2164000,13.137753
09/04/2010,22.469999,22.594999,22.455,22.565001,2997200,13.278989
12/04/2010,22.59,22.67,22.535,22.645,1404000,13.326066
13/04/2010,22.725,22.725,22.555,22.639999,1975600,13.323125
14/04/2010,22.65,22.66,22.52,22.645,1648600,13.326066
15/04/2010,22.535,22.795,22.535,22.790001,1449400,13.411396
16/04/2010,22.635,22.719999,22.565001,22.665001,4510400,13.337837
19/04/2010,22.445,22.629999,22.42,22.615,1790200,13.308414
20/04/2010,22.834999,22.924999,22.795,22.865,1981800,13.455533
21/04/2010,22.775,22.790001,22.610001,22.700001,2552800,13.358435
22/04/2010,22.475,22.485001,22.309999,22.440001,3814000,13.205431
23/04/2010,22.285,22.58,22.25,22.565001,1654600,13.278989
26/04/2010,22.545,22.605,22.434999,22.455,1496000,13.214254
27/04/2010,21.959999,22.075001,21.745001,21.790001,4086200,12.82292
28/04/2010,21.74,21.915001,21.5,21.84,4230400,12.852343
29/04/2010,22.200001,22.264999,22.014999,22.17,4952200,13.046538
30/04/2010,22.315001,22.334999,21.99,22.115,3646400,13.014174
03/05/2010,22.030001,22.155001,21.985001,22.045,2469600,12.972982
04/05/2010,22.075001,22.120001,21.955,22.01,3124000,12.952384
05/05/2010,21.549999,21.74,21.514999,21.584999,3942200,12.70228
06/05/2010,21.360001,21.469999,20.15,20.84,6252400,12.263866
07/05/2010,20.74,20.895,20.219999,20.615,7692400,12.131457
10/05/2010,21.27,21.440001,21.07,21.275,3930000,12.519852
11/05/2010,20.975,21.504999,20.950001,21.280001,2649200,12.522797
12/05/2010,21.32,21.725,21.295,21.695,3458000,12.767012
13/05/2010,21.51,21.665001,21.485001,21.575001,5335600,12.696395
14/05/2010,21.290001,21.32,20.889999,21.025,7262600,12.372733
17/05/2010,21.025,21.305,20.91,21.275,6101800,12.519852
18/05/2010,21.08,21.209999,20.91,20.975,6550200,12.343311
19/05/2010,20.885,21.219999,20.870001,21.110001,7497400,12.422755
20/05/2010,20.665001,20.825001,20.370001,20.504999,7954000,12.066726
21/05/2010,20.305,20.84,20.280001,20.785,4623200,12.231499
24/05/2010,20.709999,20.98,20.625,20.700001,3492400,12.181479
25/05/2010,20.370001,20.700001,20.205,20.67,7474600,12.163828
26/05/2010,20.365,20.620001,20.355,20.455,7523000,12.037302
27/05/2010,20.620001,20.93,20.584999,20.924999,3798400,12.313884
28/05/2010,21.15,21.245001,20.985001,21.125,5205200,12.431581
01/06/2010,21.16,21.504999,21.1,21.155001,5004800,12.449237
02/06/2010,21.5,21.795,21.309999,21.795,6413600,12.825863
03/06/2010,21.9,21.915001,21.635,21.76,4263000,12.805265
04/06/2010,21.58,21.610001,21.184999,21.235001,4275400,12.496317
07/06/2010,21.275,21.504999,21.065001,21.065001,4113200,12.396276
08/06/2010,21.030001,21.225,20.965,21.184999,3552200,12.466888
09/06/2010,21.325001,21.59,21.264999,21.315001,3231600,12.543393
10/06/2010,21.805,22.125,21.785,22.084999,6962600,12.99652
11/06/2010,21.959999,22.540001,21.945,22.51,6935200,13.246618
14/06/2010,22.6,22.695,22.504999,22.514999,4122400,13.249565
15/06/2010,22.790001,22.98,22.754999,22.98,3472400,13.523202
16/06/2010,22.795,22.955,22.775,22.889999,2692200,13.470243
17/06/2010,22.809999,22.92,22.725,22.895,2698000,13.47319
18/06/2010,22.73,22.895,22.674999,22.745001,2431200,13.384917
21/06/2010,22.68,22.75,22.389999,22.434999,3657400,13.202488
22/06/2010,22.51,22.815001,22.455,22.455,3438200,13.214254
23/06/2010,22.48,22.555,22.245001,22.450001,2372600,13.211315
24/06/2010,22.475,22.705,22.434999,22.535,2546400,13.261335
25/06/2010,22.305,22.485001,22.195,22.445,2877200,13.208372
28/06/2010,22.264999,22.51,22.26,22.360001,2547600,13.158351
29/06/2010,22.434999,24.9,22.084999,24.370001,15929800,14.341189
30/06/2010,23.785,24.025,23.535,23.565001,12838400,13.867468
01/07/2010,23.870001,23.940001,23.375,23.775,8165800,13.991045
02/07/2010,23.375,23.605,23.355,23.525,3770200,13.843924
06/07/2010,23.725,23.985001,23.690001,23.885,3750600,14.055779
07/07/2010,23.735001,24.190001,23.68,24.165001,3853000,14.220551
08/07/2010,23.99,24.43,23.985001,24.385,3793600,14.350019
09/07/2010,24.34,24.5,24.27,24.5,2419600,14.417692
12/07/2010,24.395,24.514999,24.32,24.434999,1965600,14.379439
13/07/2010,24.790001,24.879999,24.700001,24.805,3052200,14.597178
14/07/2010,24.924999,25.094999,24.844999,24.985001,4213200,14.703104
15/07/2010,25.094999,25.165001,24.860001,25.165001,2942400,14.809031
16/07/2010,24.834999,24.995001,24.344999,24.395,4101800,14.355902
19/07/2010,24.665001,24.745001,24.465,24.530001,2309800,14.435345
20/07/2010,24.334999,24.715,24.290001,24.700001,2582600,14.535388
21/07/2010,24.33,24.41,24.049999,24.115,2966000,14.191126
22/07/2010,24.540001,24.764999,24.475,24.57,2796000,14.458883
23/07/2010,24.34,24.42,24.07,24.309999,7036000,14.305882
26/07/2010,24.129999,25.559999,23.975,25.254999,13704800,14.861995
27/07/2010,24.99,25.004999,24.809999,24.965,6201800,14.691337
28/07/2010,25.15,26.045,24.934999,25.754999,12121400,15.156233
29/07/2010,26.084999,26.15,25.200001,25.299999,9004800,14.888475
30/07/2010,25.375,25.559999,25.219999,25.219999,6494800,14.841395
02/08/2010,25.764999,25.955,25.674999,25.85,3865200,15.212136
03/08/2010,25.969999,26.174999,25.924999,26.129999,4207200,15.376912
04/08/2010,25.799999,25.940001,25.6,25.700001,4279400,15.329194
05/08/2010,25.785,26,25.77,25.995001,3621600,15.505152
06/08/2010,25.99,26.245001,25.915001,26.15,3046800,15.597604
09/08/2010,26.285,26.389999,26.215,26.305,2204800,15.690058
10/08/2010,26.395,26.764999,26.205,26.705,4100200,15.928642
11/08/2010,25.860001,25.885,25.59,25.594999,2936400,15.266566
12/08/2010,25.66,25.76,25.605,25.66,3220600,15.305337
13/08/2010,25.645,25.825001,25.629999,25.695,1909000,15.326211
16/08/2010,25.684999,25.995001,25.65,25.905001,1757400,15.451468
17/08/2010,25.889999,25.950001,25.705,25.85,2063800,15.418663
18/08/2010,25.790001,25.84,25.594999,25.68,2032800,15.317267
19/08/2010,25.605,25.625,25.280001,25.389999,2060600,15.144288
20/08/2010,25.184999,25.309999,25.094999,25.264999,1772200,15.069732
23/08/2010,25.514999,25.700001,25.475,25.475,1719800,15.194986
24/08/2010,24.985001,25.040001,24.795,24.885,2645600,14.843076
25/08/2010,24.834999,25.1,24.73,25.055,1715200,14.944477
26/08/2010,24.985001,25.049999,24.799999,24.895,1788400,14.84904
27/08/2010,25.07,25.195,24.795,25.115,1651600,14.980258
30/08/2010,25,25.094999,24.825001,24.825001,1563400,14.807285
31/08/2010,24.75,24.885,24.655001,24.715,2963200,14.741671
01/09/2010,25.305,25.42,25.17,25.245001,2076200,15.0578
02/09/2010,25.17,25.290001,25.16,25.27,916800,15.072712
03/09/2010,25.6,25.629999,25.459999,25.620001,1321600,15.281479
07/09/2010,25.575001,25.594999,25.469999,25.504999,1751600,15.212879
08/09/2010,25.775,25.945,25.625,25.639999,2334000,15.293404
09/09/2010,25.76,25.809999,25.65,25.715,1435400,15.338142
10/09/2010,25.98,26,25.865,25.889999,1703400,15.442522
