"Date","Weekly.Cases"
2020-01-29,6
2020-02-05,11
2020-02-12,10
2020-02-19,15
2020-02-26,24
2020-03-04,108
2020-03-11,1120
2020-03-18,7750
2020-03-25,58299
2020-04-01,150754
2020-04-08,218027
2020-04-15,207195
2020-04-22,199156
2020-04-29,198923
2020-05-06,188578
2020-05-13,160188
2020-05-20,157389
2020-05-27,146663
2020-06-03,144777
2020-06-10,141408
2020-06-17,154009
2020-06-24,211254
2020-07-01,299827
2020-07-08,358095
2020-07-15,424702
2020-07-22,468578
2020-07-29,455053
2020-08-05,411544
2020-08-12,373999
2020-08-19,339590
2020-08-26,297864
2020-09-02,284510
2020-09-09,260357
2020-09-16,268822
2020-09-23,304776
2020-09-30,300405
2020-10-07,315260
2020-10-14,363955
2020-10-21,431232
2020-10-28,518293
2020-11-04,688815
2020-11-11,901511
2020-11-18,1127318
2020-11-25,1253711
2020-12-02,1169064
2020-12-09,1485123
2020-12-16,1526464
2020-12-23,1499703
2020-12-30,1299023
2021-01-06,1584212
2021-01-13,1716354
2021-01-20,1391546
2021-01-27,1144871
2021-02-03,961256
2021-02-10,730810
2021-02-17,542053
2021-02-24,475450
2021-03-03,446198
2021-03-10,395351
2021-03-17,385332
2021-03-24,399953
2021-03-31,447568
2021-04-07,458270
2021-04-14,495037
2021-04-21,449690
2021-04-28,372986
2021-05-05,332130
2021-05-12,258407
2021-05-19,212156
2021-05-26,164623
2021-06-02,115900
2021-06-09,107170
2021-06-16,87085
2021-06-23,82105
2021-06-30,95149
2021-07-07,110137
2021-07-14,181214
2021-07-21,288575
2021-07-28,459427
2021-08-04,674537
2021-08-11,868478
2021-08-18,982895
2021-08-25,1068842
2021-09-01,1176085
2021-09-08,1066972
2021-09-15,1077755
2021-09-22,923636
2021-09-29,798284
2021-10-06,703259
2021-10-13,619733
2021-10-20,533379
2021-10-27,503756
2021-11-03,503065
2021-11-10,536964
2021-11-17,613170
2021-11-24,666623
2021-12-01,606165
2021-12-08,852805
2021-12-15,844179
2021-12-22,1158755
2021-12-29,2121613
2022-01-05,4102779
2022-01-12,5494698
2022-01-19,5613902
2022-01-26,4409442
2022-02-02,2726269
2022-02-09,1496421
2022-02-16,902587
2022-02-23,548736
2022-03-02,369213
2022-03-09,266927
2022-03-16,213092
2022-03-23,194586
2022-03-30,194130
2022-04-06,197765
2022-04-13,225984
2022-04-20,296552
2022-04-27,370159
2022-05-04,457423
2022-05-11,590250
2022-05-18,718379
2022-05-25,763017
2022-06-01,716244
2022-06-08,760249
2022-06-15,727197
2022-06-22,683661
2022-06-29,773481
2022-07-06,774509
2022-07-13,868153
2022-07-20,899385
2022-07-27,927432
2022-08-03,834800
2022-08-10,761855
2022-08-17,701383
2022-08-24,651126
2022-08-31,614882
2022-09-07,523511
2022-09-14,470954
2022-09-21,394866
2022-09-28,340960
2022-10-05,318433
2022-10-12,265652
2022-10-19,261584
2022-10-26,261368
2022-11-02,274643
2022-11-09,290813
2022-11-16,280996
2022-11-23,309380
2022-11-30,308778
2022-12-07,473665
2022-12-14,456014
2022-12-21,495359
2022-12-28,399998
2023-01-04,481901
2023-01-11,452448
2023-01-18,322623
2023-01-25,308269
2023-02-01,282108
2023-02-08,290967
2023-02-15,264590
2023-02-22,237672
2023-03-01,229340
2023-03-08,187127
2023-03-15,153183
2023-03-22,133521
