Data Table for Weekly Case Trends - The United States
Date generated: Wed Mar 29 2023 19:19:18 GMT-0400 (Eastern Daylight Time)
Geography,Date,Weekly Cases,New Historic Cases
United States,Mar 22 2023,133521,18232
United States,Mar 15 2023,153183,347
United States,Mar  8 2023,187127,0
United States,Mar  1 2023,229340,0
United States,Feb 22 2023,237672,29950
United States,Feb 15 2023,264590,0
United States,Feb  8 2023,290967,0
United States,Feb  1 2023,282108,4507
United States,Jan 25 2023,308269,0
United States,Jan 18 2023,322623,0
United States,Jan 11 2023,452448,0
United States,Jan  4 2023,481901,0
United States,Dec 28 2022,399998,0
United States,Dec 21 2022,495359,21397
United States,Dec 14 2022,456014,0
United States,Dec  7 2022,473665,0
United States,Nov 30 2022,308778,0
United States,Nov 23 2022,309380,0
United States,Nov 16 2022,280996,0
United States,Nov  9 2022,290813,0
United States,Nov  2 2022,274643,0
United States,Oct 26 2022,261368,0
United States,Oct 19 2022,261584,0
United States,Oct 12 2022,265652,0
United States,Oct  5 2022,318433,0
United States,Sep 28 2022,340960,0
United States,Sep 21 2022,394866,0
United States,Sep 14 2022,470954,0
United States,Sep  7 2022,523511,0
United States,Aug 31 2022,614882,0
United States,Aug 24 2022,651126,0
United States,Aug 17 2022,701383,0
United States,Aug 10 2022,761855,0
United States,Aug  3 2022,834800,0
United States,Jul 27 2022,927432,0
United States,Jul 20 2022,899385,0
United States,Jul 13 2022,868153,0
United States,Jul  6 2022,774509,0
United States,Jun 29 2022,773481,0
United States,Jun 22 2022,683661,0
United States,Jun 15 2022,727197,0
United States,Jun  8 2022,760249,0
United States,Jun  1 2022,716244,0
United States,May 25 2022,763017,0
United States,May 18 2022,718379,0
United States,May 11 2022,590250,0
United States,May  4 2022,457423,0
United States,Apr 27 2022,370159,0
United States,Apr 20 2022,296552,0
United States,Apr 13 2022,225984,0
United States,Apr  6 2022,197765,0
United States,Mar 30 2022,194130,0
United States,Mar 23 2022,194586,0
United States,Mar 16 2022,213092,0
United States,Mar  9 2022,266927,0
United States,Mar  2 2022,369213,0
United States,Feb 23 2022,548736,0
United States,Feb 16 2022,902587,0
United States,Feb  9 2022,1496421,0
United States,Feb  2 2022,2726269,0
United States,Jan 26 2022,4409442,0
United States,Jan 19 2022,5613902,0
United States,Jan 12 2022,5494698,0
United States,Jan  5 2022,4102779,0
United States,Dec 29 2021,2121613,0
United States,Dec 22 2021,1158755,0
United States,Dec 15 2021,844179,0
United States,Dec  8 2021,852805,0
United States,Dec  1 2021,606165,0
United States,Nov 24 2021,666623,0
United States,Nov 17 2021,613170,0
United States,Nov 10 2021,536964,0
United States,Nov  3 2021,503065,0
United States,Oct 27 2021,503756,0
United States,Oct 20 2021,533379,0
United States,Oct 13 2021,619733,0
United States,Oct  6 2021,703259,0
United States,Sep 29 2021,798284,0
United States,Sep 22 2021,923636,0
United States,Sep 15 2021,1077755,0
United States,Sep  8 2021,1066972,0
United States,Sep  1 2021,1176085,0
United States,Aug 25 2021,1068842,0
United States,Aug 18 2021,982895,0
United States,Aug 11 2021,868478,0
United States,Aug  4 2021,674537,0
United States,Jul 28 2021,459427,0
United States,Jul 21 2021,288575,0
United States,Jul 14 2021,181214,0
United States,Jul  7 2021,110137,0
United States,Jun 30 2021,95149,0
United States,Jun 23 2021,82105,0
United States,Jun 16 2021,87085,0
United States,Jun  9 2021,107170,0
United States,Jun  2 2021,115900,0
United States,May 26 2021,164623,0
United States,May 19 2021,212156,0
United States,May 12 2021,258407,0
United States,May  5 2021,332130,0
United States,Apr 28 2021,372986,0
United States,Apr 21 2021,449690,0
United States,Apr 14 2021,495037,0
United States,Apr  7 2021,458270,0
United States,Mar 31 2021,447568,0
United States,Mar 24 2021,399953,0
United States,Mar 17 2021,385332,0
United States,Mar 10 2021,395351,0
United States,Mar  3 2021,446198,0
United States,Feb 24 2021,475450,0
United States,Feb 17 2021,542053,0
United States,Feb 10 2021,730810,0
United States,Feb  3 2021,961256,0
United States,Jan 27 2021,1144871,0
United States,Jan 20 2021,1391546,0
United States,Jan 13 2021,1716354,0
United States,Jan  6 2021,1584212,0
United States,Dec 30 2020,1299023,0
United States,Dec 23 2020,1499703,0
United States,Dec 16 2020,1526464,0
United States,Dec  9 2020,1485123,0
United States,Dec  2 2020,1169064,0
United States,Nov 25 2020,1253711,0
United States,Nov 18 2020,1127318,0
United States,Nov 11 2020,901511,0
United States,Nov  4 2020,688815,0
United States,Oct 28 2020,518293,0
United States,Oct 21 2020,431232,0
United States,Oct 14 2020,363955,0
United States,Oct  7 2020,315260,0
United States,Sep 30 2020,300405,0
United States,Sep 23 2020,304776,0
United States,Sep 16 2020,268822,0
United States,Sep  9 2020,260357,0
United States,Sep  2 2020,284510,0
United States,Aug 26 2020,297864,0
United States,Aug 19 2020,339590,0
United States,Aug 12 2020,373999,0
United States,Aug  5 2020,411544,0
United States,Jul 29 2020,455053,0
United States,Jul 22 2020,468578,0
United States,Jul 15 2020,424702,0
United States,Jul  8 2020,358095,0
United States,Jul  1 2020,299827,0
United States,Jun 24 2020,211254,0
United States,Jun 17 2020,154009,0
United States,Jun 10 2020,141408,0
United States,Jun  3 2020,144777,0
United States,May 27 2020,146663,0
United States,May 20 2020,157389,0
United States,May 13 2020,160188,0
United States,May  6 2020,188578,0
United States,Apr 29 2020,198923,0
United States,Apr 22 2020,199156,0
United States,Apr 15 2020,207195,0
United States,Apr  8 2020,218027,0
United States,Apr  1 2020,150754,0
United States,Mar 25 2020,58299,0
United States,Mar 18 2020,7750,0
United States,Mar 11 2020,1120,0
United States,Mar  4 2020,108,0
United States,Feb 26 2020,24,0
United States,Feb 19 2020,15,0
United States,Feb 12 2020,10,0
United States,Feb  5 2020,11,0
United States,Jan 29 2020,6,0
