"PFE","UNH","JNJ","AZN","SYK","CVS","LLY","Dates","date"
11.026818,25.890955,13.44091,43.829044,25.074018,43.962337,23.975027,"2010-01-04",2010-01-04
10.869545,25.849909,13.168747,44.240784,24.975178,43.452553,23.553362,"2010-01-05",2010-01-05
10.834591,26.10446,13.063848,44.921402,24.754694,43.806,23.727381,"2010-01-06",2010-01-06
10.793818,27.106279,13.205601,46.425518,25.667034,43.493332,23.606913,"2010-01-07",2010-01-07
10.881194,26.851715,13.2623,46.568356,25.849503,43.642872,23.426188,"2010-01-08",2010-01-08
10.968568,27.032372,13.500442,46.425518,25.796278,43.649666,23.747463,"2010-01-11",2010-01-11
10.933619,26.317965,13.438073,46.391891,25.514973,43.88076,23.667141,"2010-01-12",2010-01-12
11.189919,26.720322,13.752763,46.610371,25.826694,44.159435,23.99511,"2010-01-13",2010-01-13
11.288947,27.360823,14.002245,47.072533,25.811493,44.247803,24.095509,"2010-01-14",2010-01-14
11.353023,27.713921,13.849151,47.080917,25.781063,43.88076,23.975027,"2010-01-15",2010-01-15
11.650098,28.847115,14.288585,47.862411,25.811493,44.417709,25.039253,"2010-01-19",2010-01-19
11.615152,28.370838,14.229048,46.996895,25.802334,44.281788,24.965633,"2010-01-20",2010-01-20
11.207397,27.180176,14.041937,45.988564,25.33737,43.479748,24.169136,"2010-01-21",2010-01-21
11.044294,27.229441,13.846317,45.408775,25.33737,42.956394,23.774242,"2010-01-22",2010-01-22
10.980224,27.098066,14.022088,45.744896,25.184908,42.969978,23.928169,"2010-01-25",2010-01-25
10.939443,26.638208,14.195026,45.845715,25.009596,42.677719,24.202606,"2010-01-26",2010-01-26
11.067595,27.29513,14.073119,44.45924,24.750425,43.119522,24.356539,"2010-01-27",2010-01-27
10.852068,27.45116,13.313332,43.854252,24.643717,43.364204,23.928169,"2010-01-28",2010-01-28
10.869545,27.098066,13.18009,43.627369,24.674198,42.725296,23.560061,"2010-01-29",2010-01-29
10.945268,27.204817,13.279308,43.862656,25.09343,42.881611,23.426188,"2010-02-01",2010-02-01
11.207397,27.960264,13.287815,44.660927,25.444075,43.493332,23.841177,"2010-02-02",2010-02-02
10.948674,27.360823,13.234855,44.148357,24.712303,43.248661,23.633684,"2010-02-03",2010-02-03
10.601748,26.654633,12.89648,42.929951,23.744249,42.575764,23.205315,"2010-02-04",2010-02-04
10.56059,26.720322,12.666972,42.904739,23.68327,42.575764,23.104916,"2010-02-05",2010-02-05
10.490029,26.613579,12.690512,43.215637,24.940994,42.392242,23.278944,"2010-02-08",2010-02-08
10.513548,27.098066,12.978868,43.618977,24.940994,42.657326,23.560061,"2010-02-09",2010-02-09
10.431226,26.859922,12.940618,43.375298,24.948605,42.636936,23.193518,"2010-02-10",2010-02-10
10.507669,27.196598,13.070077,43.837437,25.314497,42.75927,23.193518,"2010-02-11",2010-02-11
10.466509,26.424717,12.928843,43.745014,25.146801,42.630142,23.044188,"2010-02-12",2010-02-12
10.419468,25.97308,12.925904,44.366829,25.550787,43.235065,23.132427,"2010-02-16",2010-02-16
10.390069,26.728535,12.925904,44.5937,25.909058,43.486546,23.342846,"2010-02-17",2010-02-17
10.42535,26.843498,12.920015,44.736542,26.008141,43.860363,23.356424,"2010-02-18",2010-02-18
10.578229,26.227627,12.843513,44.669334,26.152979,43.702854,23.241039,"2010-02-19",2010-02-19
10.554708,27.163752,12.814093,44.610512,26.084373,43.483696,23.397158,"2010-02-22",2010-02-22
10.390069,26.942039,12.778782,44.215572,26.031015,43.360405,23.050976,"2010-02-23",2010-02-23
10.47239,27.607178,12.799378,44.442448,26.305437,43.456295,23.105274,"2010-02-24",2010-02-24
